Name,Stage,Location,City,Country,Total Funding,Investors
Samsara,Series: c,bay area,San Francisco,usa,65000000,"Andreessen Horowitz, General Catalyst Partners"
General Electric,Public,fairfield,Fairfield,usa,0,
Mocana,late,bay area,San Francisco,usa,35500000,"Intel Capital, In-Q-Tel, SV Angel, Shasta Ventures, Southern Cross Venture Partners, Bob Pasker, Trident Capital, Symantec"
Electric Imp,Series: c,bay area,Los Altos,usa,44000000,"Redpoint Ventures, Lowercase Capital, Foxconn Technology Group, PTI Ventures, Hugo Fiennes, Rampart Capital LLC"
Zuora,late,bay area,Foster City,usa,242500000,"Benchmark, Marc Benioff, Shasta Ventures, Lehman Brothers, Redpoint Ventures, Tenaya Capital, Webb Investment Network, Index Ventures, Greylock Partners, Dave Duffield, Vulcan Capital, Next World Capital, Northgate Capital, BlackRock, Wellington Management, Passport Capital"
Feedzai,late,bay area,San Mateo,usa,69900000,"Kindred Partners, Novabase Capital, Espirito Santo Ventures, Sapphire Ventures, Data Collective, Oak HC/FT Partners, Citi Ventures"
Tidemark,late,bay area,Redwood City,usa,104300000,"Greylock Partners, Andreessen Horowitz, Dave Duffield, Redpoint Ventures, Tenaya Capital, Silicon Valley Bank, Workday, Marlin Equity Partners"
Pocketo,no known funding,bucharest,Bucharest,rou,,
Samanage,Series: c,raleigh,Cary,usa,44000000,"Viola Group, Carmel Ventures, Gemini Israel Ventures, Silicon Valley Bank, Vintage Investment Partners, Marker LLC, Salesforce Ventures, Gemini Ventures"
Coho Data,Series: c,santa clara,Santa Clara,usa,65000000,"Andreessen Horowitz, Ignition Partners, Intel Capital, Hewlett-Packard, March Capital Partners"
Airware,late,bay area,San Francisco,usa,66100000,"Y Combinator, Fresh VC, Lemnos Labs, Google Ventures, Andreessen Horowitz, First Round Capital, Kleiner Perkins Caufield & Byers, GE Ventures, Intel Capital, Next World Capital, John Chambers, Caterpillar Ventures"
Enomaly,exited (acquired),toronto,Toronto,can,0,MaRS Investment Accelerator Fund
OpenDNS,exited (acquired),bay area,San Francisco,usa,51260000,"DAG Ventures, Minor Ventures, Sequoia Capital, Greylock Partners, Sutter Hill Ventures, Mohr Davidow Ventures, Glynn Capital Management, Northgate Capital, Lumia Capital, Evolution Equity Partners, Cisco Investments"
Glowforge,Series: c,seattle,Seattle,usa,42265000,"Elan Lee, Kristen Hamilton, Greg McAdoo, Foundry Group, True Ventures"
MuleSoft,exited (ipo),bay area,San Francisco,usa,258500000,"Canvas Venture Fund, Kindred Partners, Hummer Winblad Venture Partners, Morgenthaler Ventures, Lightspeed Venture Partners, Bay Partners, Sapphire Ventures, New Enterprise Associates, Salesforce Ventures, Meritech Capital Partners, Cisco Investments, Brookside Capital, Adage Capital Management, Sands Capital Ventures, ServiceNow"
Helium,exited (acquired),bay area,San Francisco,usa,47000000,"LaunchCapital, Northport Private Equity, Signature Capital Securities, Khosla Ventures, Google Ventures, FirstMark Capital, Hartford Steam Boiler"
