
Pattern                                                                         Occurances: Tid_List
Industry:apps                                                                                                                                         :19
Industry:apps InstaFollowing:0x10                                                                                                                     :4
Industry:apps Subscribers:1x100000                                                                                                                    :3
Industry:apps Subscribers:3x1000000                                                                                                                   :3
Industry:apps VideoCount:1x100                                                                                                                        :5
Industry:beauty                                                                                                                                       :41
Industry:beauty InstaFollowing:0x10                                                                                                                   :3
Industry:beauty InstaFollowing:1x100                                                                                                                  :4
Industry:beauty InstaFollowing:1x100
 Subscribers:2x100000                                                                                            :3
Industry:beauty InstaFollowing:4x100                                                                                                                  :5
Industry:beauty InstaFollowing:4x100
 VideoCount:1x1000                                                                                               :4
Industry:beauty InstaPosts:3x100                                                                                                                      :3
Industry:beauty Subscribers:1x100000                                                                                                                  :4
Industry:beauty Subscribers:1x1000000                                                                                                                 :4
Industry:beauty Subscribers:2x100000                                                                                                                  :3
Industry:beauty Subscribers:2x1000000                                                                                                                 :3
Industry:beauty Subscribers:3x100000                                                                                                                  :5
Industry:beauty Subscribers:3x100000 VideoCount:1x100                                                                                                 :4
Industry:beauty TwitterFavorites:1x10000                                                                                                              :5
Industry:beauty TwitterFavorites:1x10000 TwitterFollowers:5x100000                                                                                    :4
Industry:beauty TwitterFavorites:5x1000                                                                                                               :4
Industry:beauty TwitterFollowers:1x100000                                                                                                             :4
Industry:beauty TwitterFollowers:1x100000 VideoCount:1x100                                                                                            :3
Industry:beauty TwitterFollowers:1x1000000                                                                                                            :3
Industry:beauty TwitterFollowers:5x100000                                                                                                             :4
Industry:beauty VideoCount:1x100                                                                                                                      :12
Industry:beauty VideoCount:1x1000                                                                                                                     :6
Industry:beauty VideoCount:3x100                                                                                                                      :4
Industry:beauty VideoCount:4x100                                                                                                                      :3
Industry:beauty ViewCount:1x1000000                                                                                                                   :3
Industry:beauty ViewCount:1x10000000                                                                                                                  :4
Industry:beauty ViewCount:8x10000000                                                                                                                  :3
Industry:comedy                                                                                                                                       :47
Industry:comedy Subscribers:1x10000                                                                                                                   :6
Industry:comedy Subscribers:1x1000000                                                                                                                 :4
Industry:comedy Subscribers:8x100                                                                                                                     :4
Industry:comedy Subscribers:8x100 VideoCount:0x10                                                                                                     :4
Industry:comedy Subscribers:9x10000                                                                                                                   :3
Industry:comedy TwitterFavorites:8x10                                                                                                                 :4
Industry:comedy VideoCount:0x10                                                                                                                       :6
Industry:comedy VideoCount:1x100                                                                                                                      :5
Industry:comedy VideoCount:1x1000                                                                                                                     :8
Industry:comedy VideoCount:2x10                                                                                                                       :6
Industry:comedy VideoCount:9x10                                                                                                                       :4
Industry:comedy ViewCount:1x10000000                                                                                                                  :5
Industry:comedy ViewCount:3x100000000                                                                                                                 :4
Industry:comedy ViewCount:4x1000000                                                                                                                   :6
Industry:cooking                                                                                                                                      :17
Industry:cooking Subscribers:1x1000000                                                                                                                :3
Industry:cooking VideoCount:6x10                                                                                                                      :3
Industry:food                                                                                                                                         :17
Industry:food InstaFollowing:6x100                                                                                                                    :3
Industry:food Subscribers:1x100000                                                                                                                    :3
Industry:food Subscribers:1x1000000                                                                                                                   :4
Industry:food Subscribers:1x1000000 ViewCount:1x100000000                                                                                             :3
Industry:food VideoCount:1x100                                                                                                                        :6
Industry:food ViewCount:1x10000000                                                                                                                    :3
Industry:food ViewCount:1x100000000                                                                                                                   :5
Industry:hair                                                                                                                                         :41
Industry:hair InstaFollowing:1x100                                                                                                                    :5
Industry:hair InstaFollowing:1x100
 VideoCount:2x100                                                                                                  :3
Industry:hair InstaFollowing:5x100                                                                                                                    :4
Industry:hair InstaPosts:2x100                                                                                                                        :4
Industry:hair InstaPosts:2x100 VideoCount:1x100                                                                                                       :4
Industry:hair InstaPosts:5x100                                                                                                                        :3
Industry:hair Subscribers:1x100000                                                                                                                    :6
Industry:hair Subscribers:1x100000 VideoCount:1x100                                                                                                   :3
Industry:hair Subscribers:1x100000 ViewCount:1x10000000                                                                                               :5
Industry:hair Subscribers:1x1000000                                                                                                                   :5
Industry:hair Subscribers:1x1000000 ViewCount:1x100000000                                                                                             :3
Industry:hair Subscribers:1x10000000                                                                                                                  :3
Industry:hair Subscribers:2x100000                                                                                                                    :4
Industry:hair Subscribers:2x1000000                                                                                                                   :4
Industry:hair Subscribers:8x100000                                                                                                                    :4
Industry:hair TwitterFavorites:9x1000                                                                                                                 :4
Industry:hair TwitterFollowers:2x1000                                                                                                                 :4
Industry:hair VideoCount:1x100                                                                                                                        :11
Industry:hair VideoCount:2x100                                                                                                                        :9
Industry:hair VideoCount:3x100                                                                                                                        :6
Industry:hair VideoCount:5x100                                                                                                                        :3
Industry:hair VideoCount:6x100                                                                                                                        :3
