channel_id, channel_title, industry, channel_subscriberCount, channel_videoCount, channel_viewCount, has_email, has_ig, has_fb, has_twitter, has_websites, has_twitch, has_google_plus, twitter_favourites_count, twitter_followers_count, ig_posts_count, ig_followers_count, ig_following_count, keywords
UCpko_-a4wgz2u_DgDgd9fqA,BuzzFeedVideo,health,14806240,5079,12319170151,0,0,1,1,0,0,0,9146,130574,,,,"""buzzfeed viral videos"" BuzzFeed ""BuzzFeed Videos"" ""BuzzFeed Official"" ""Official BuzzFeed"" Funny Humor Comedy ""Try Guys"" ""BuzzFeed Try Guys"""
UC2o2mfKyCvUuI4Or6H2Vr_g,мире необычного - Health & Beauty - HT,health,0,146,30635524,0,0,0,0,0,0,0,,,,,,"""whiteheads extractionblackheads"" comedon milia ""beauty tips"" beauty treatmentacne treatmentdr pimple popper ""dr pimple popper"" ""sandra lee"" ""pimple popper"" extraction blackhead whitehead ASMR cystskin Cyst channelpimple ""channel blackhead"" ""channel acne"" ""channel popping"" ""channel skin"" treatments ""medical education"" ""beauty skin"" problems Cystic Acne ""Pimples And Blackheads"""
UC8yH-uI81UUtEMDsowQyx1g,SABC Digital News,health,239111,80063,152767951,0,0,1,1,1,0,0,55,986597,,,,"""SABC News"" ""SA public broadcaster"" ""SABroadcasting Corporation"" ""South Africa"" SA TV television radio ""radio stations"" watch listen news sport entertainment lifestyle science Africa world politics business online mobile website ""current affairs"" ""special reports"" ""breaking news"" weather financial ""financial indicators"" ""site map"" articles stories opinions analysis commentary"
UC4rlAVgAK0SGk-yTfe48Qpw,BRIGHT SIDE,health,8087731,918,1569172865,0,1,1,0,0,0,0,,,"3,959",600.4k,3,"""Bright Side"" creativity Inspiration"
UCqzZzGs1SxTCmicz8NbiGrQ,As I see it! Patti Dail,health,2073,893,465207,0,0,0,0,0,0,0,,,,,,
UCc9CjaAjsMMvaSghZB7-Kog,BeardMeatsFood,health,225268,242,31004213,0,0,0,0,0,0,0,,,,,,"""eating challenges"" ""uk eating"" ""food challenges"" ""competitive eating"" ""UK Food"" ""Food and Beards"" Fitness"
UCkQO3QsgTpNTsOw6ujimT5Q,Be Amazed,health,2317448,519,542573337,0,1,1,1,0,0,0,,,18,742,"3,171","""top 10"" secrets most amazing ""most amazing"" incredible facts interesting technology documentary people creations mysteries beamazed ""be amazed"""
UCQ7FaPgmzlpv_NAXnkVkyig,EasyHealth,health,57760,324,3428436,0,0,1,0,0,0,0,,,,,,"""easy health"" ""malayalam health tips"" ""mallu health tips"" ""health tips"" ""health tips malayalam"" arogyam ayurveda"
UCiWLfSweyRNmLpgEHekhoAg,ESPN,health,2679731,10420,975021217,0,1,1,1,1,0,0,,,,,,"sports ""sports news"" ""sports live"" ""sports clips"" ""sports videos"" ""sports center"" sportscenter ""sports channel"" ""sports documentaries"" ""first take"" ""the jump"" sportsnation ""outside the lines"" ""nfl live"" ""nba countdown"""
UCiL6WwlHv2DCGpKUjWpSXrg,Cambria Joy,health,627943,313,41483053,0,1,0,1,1,0,0,31792,34923,"1,758",109k,449,get healthy fitness paleo recipes cooking meals beauty lifestyle health Cambria Joy breelovesbeauty
UC295-Dw_tDNtZXFeAPAW6Aw,5-Minute Crafts,health,14518877,1365,4281984870,0,1,1,1,0,0,0,0,21,"2,400",13.3m,3,"""5-Minute Crafts"" DIY ""Do it yourself"" crafts ""useful things"" lifehacks tricks tips ""DIY projects"" ""DIY activities"" Handcraft Tutorial experiments"
UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks,health,11225692,108507,2155870716,0,1,1,1,0,0,0,7532,476467,24,"1,321",41,TEDx TED TEDxTalks Talks Entertainment Design Lectures Education
UCIO6dMmzMboaSk2H2kgLwAA,Saint Paul College,health,230,57,183932,0,0,0,0,1,0,0,,,,,,"""saint paul college"" education ""higher ed"" college ""community college"" minnesota ""st paul"" minneapolis ""twin cities"" ""career training"" degree learning"
UCAHufvd02viJSRdt3ojdPOg,Sarahs Day,health,577133,244,57126036,0,1,1,0,0,0,1,,,"1,221",391.2k,"1,611",
UCTnXL2SKHAo0fHVW1WSaqfw,Evangelist Gabriel Fernandes,health,55733,310,5682397,1,0,1,0,1,0,0,,,,,,"""Evangelist Gabriel Fernandes Port Elizabeth South africa. Anointing"" Lifestyle ""How to"" Fitness Health God Jesus ""Holy Spirit316 Ignite"" tv"
UCmYew1VwdbpHnSFG-CQ1A-A,Jump Rope Dudes,health,206214,446,19838444,0,1,1,1,0,0,0,213,372,"1,375",38.5k,630,"""Zen Dude Fitness"" Zendude ""Zendude Fitness"" ""Zen Dude Fitness Workout"" ""Zen Dude"" ""Jump rope workout"" ""skipping rope workout"" ""how to jump rope"" ""jump rope"" ""jumping rope"" ""how to jump like a boxer"" skipping ""jump rope transformation"" ""jump rope tricks"" ""rope workout"" ""hiit jump rope workout"" ""how to jump rope for beginners"" ""rope jumping workout"" ""jump rope workout to lose weight"" ""jump rope beginner"" ""skipping workout"" ""jump rope dudes"""
UC1vdi4J54ucetZoFAfQenMg,Laidback Luke,health,200537,207,13986619,0,1,0,1,0,0,1,54,844196,"2,254",537.4k,181,Laidback Luke Mixmash Records Show Me Love Hey Timebomb Till Tonight Super You&Me
UCqldU0UqpPMUjWZjSFMU1kg,Global Amlife,health,0,74,66433,0,0,0,0,0,0,0,,,,,,Wellness Sleep Health Hoslictic
UCHRW-K2xUtePWQnWqUan1XQ,Mana Health,health,262202,1159,114840916,0,0,0,0,0,0,0,,,,,,
UCUXTfjk-7PcxRwqo_-gagrg,Hip Hop TV WHY,health,85181,1903,30963379,0,1,1,1,1,0,1,0,66,19,254,"2,632","""hip hop"" rap music ""why tv"" tv news"
