Uma Trevino ,3762649 ,856 ,15403 ,985 ,501 ,2748072 ,299 ,2785245 ,695 ,3236933 ,41779 ,584 ,3783981 ,18072572 ,1404 ,304 ,85 ,47 ,482
Aquila Palmer ,10404519 ,828 ,63717 ,975 ,683 ,16696206 ,613 ,1621259 ,35 ,937923 ,15788 ,270 ,679198 ,143915018 ,10 ,296 ,345 ,49 ,270
Troy Oliver ,5740825 ,910 ,67742 ,4976 ,112 ,12834493 ,713 ,756069 ,167 ,4962641 ,76183 ,678 ,568114 ,115979642 ,2089 ,231 ,271 ,4 ,525
Malik Greer ,3101131 ,860 ,60365 ,778 ,416 ,7208508 ,715 ,1409633 ,21 ,4343482 ,3582 ,608 ,3500511 ,177742516 ,1931 ,367 ,259 ,31 ,490
Ignacia Perry ,10554404 ,274 ,29854 ,1092 ,743 ,10488663 ,632 ,1749363 ,759 ,3665862 ,71121 ,428 ,2427614 ,106642471 ,1162 ,229 ,82 ,15 ,711
Steel Witt ,3610279 ,370 ,32610 ,4043 ,341 ,3561265 ,686 ,3167161 ,163 ,1799690 ,78858 ,488 ,2176664 ,21942130 ,1510 ,78 ,315 ,5 ,517
Kyra Malone ,16304212 ,200 ,55882 ,1002 ,265 ,5618761 ,326 ,3841049 ,770 ,2590916 ,67743 ,606 ,2707553 ,20236753 ,2209 ,230 ,395 ,26 ,302
Tamekah Rivers ,8812911 ,443 ,39593 ,4780 ,433 ,10627362 ,638 ,287668 ,905 ,1722959 ,266 ,665 ,2035585 ,58066421 ,909 ,374 ,316 ,23 ,614
Yen Vincent ,15042757 ,675 ,66537 ,1242 ,722 ,1253436 ,577 ,4915101 ,417 ,2788517 ,79081 ,480 ,3990970 ,171701056 ,2817 ,141 ,267 ,28 ,356
Tiger Burris ,18489221 ,558 ,57890 ,1795 ,654 ,15345249 ,576 ,4104945 ,874 ,3060096 ,19565 ,260 ,2450076 ,87030789 ,2365 ,288 ,364 ,27 ,666
Ezra Hahn ,2425443 ,594 ,8867 ,4607 ,586 ,15469319 ,240 ,3086271 ,536 ,4286026 ,9660 ,291 ,3425872 ,3449060 ,2218 ,385 ,368 ,20 ,296
Ali Head ,8362274 ,772 ,82529 ,2048 ,754 ,13552938 ,310 ,2994372 ,291 ,481661 ,60248 ,651 ,2227303 ,177766884 ,2410 ,20 ,2 ,50 ,277
Chava Haley ,2600837 ,509 ,60284 ,601 ,522 ,533401 ,613 ,1210686 ,296 ,3413400 ,77154 ,517 ,3920695 ,108297447 ,1555 ,297 ,352 ,32 ,508
Ryan Simpson ,5157281 ,349 ,62732 ,2338 ,561 ,16935829 ,445 ,3679369 ,986 ,2129125 ,35688 ,714 ,832831 ,114117627 ,781 ,44 ,12 ,2 ,489
Amelia Holland ,18405006 ,147 ,16304 ,3806 ,283 ,11917533 ,336 ,4136599 ,172 ,3090238 ,88613 ,713 ,31537 ,63699949 ,2771 ,178 ,143 ,41 ,403
Herman Galloway ,9683064 ,360 ,7328 ,4398 ,166 ,18854927 ,462 ,3766267 ,145 ,1636469 ,16580 ,449 ,2103647 ,77892669 ,2152 ,227 ,266 ,23 ,251
Yeo Cotton ,18033445 ,905 ,91659 ,1595 ,43 ,3473494 ,314 ,4138255 ,745 ,1526425 ,3983 ,240 ,3985226 ,57880253 ,1310 ,192 ,301 ,8 ,657
Bevis Warner ,14882229 ,643 ,34834 ,4102 ,434 ,4598125 ,680 ,4016439 ,82 ,868033 ,10350 ,264 ,3186815 ,88511196 ,2458 ,143 ,105 ,37 ,588
Kelsey Fuentes ,12999522 ,846 ,47569 ,1714 ,293 ,9822871 ,333 ,1892955 ,864 ,2873510 ,54498 ,557 ,133280 ,1346064 ,2998 ,319 ,397 ,14 ,255
Cameron Haley ,4917365 ,816 ,21514 ,38 ,417 ,10369452 ,668 ,4225191 ,587 ,2702110 ,23180 ,266 ,2967061 ,146777235 ,1715 ,335 ,110 ,33 ,571
Bradley Newton ,13066927 ,433 ,19216 ,761 ,753 ,15155728 ,261 ,1015086 ,749 ,4763176 ,59806 ,586 ,3980040 ,196311620 ,794 ,110 ,260 ,39 ,543
Jordan Rosales ,16246052 ,726 ,91780 ,4714 ,85 ,18583427 ,388 ,3476539 ,377 ,1416522 ,55029 ,697 ,867583 ,105512231 ,1258 ,285 ,24 ,6 ,416
Mason Jarvis ,14472042 ,670 ,39678 ,2760 ,873 ,18987202 ,323 ,4366866 ,34 ,2327256 ,92630 ,594 ,2491687 ,64893801 ,951 ,188 ,39 ,36 ,390
